id,city,county_id,state,type,sort_order
636,Shevlin,15,MN,,
637,Shorewood,27,MN,,
638,Silver Bay,38,MN,,
639,Silver Lake,46,MN,,
640,Skyline,7,MN,,
641,Slayton,51,MN,,
642,Sleepy Eye,8,MN,,
643,Sobieski,49,MN,,
644,Solway,4,MN,,
645,South Haven,86,MN,,
646,South Saint Paul,19,MN,,
647,Spicer,34,MN,,
648,Spring Grove,28,MN,,
649,Spring Hill,73,MN,,
650,Spring Lake Park,2,MN,,
651,Spring Lake Park,62,MN,,
652,Spring Park,27,MN,,
653,Spring Valley,23,MN,,
654,Springfield,8,MN,,
655,Squaw Lake,31,MN,,
656,Stacy,13,MN,,
657,Staples,77,MN,,
658,Staples,80,MN,,
659,Starbuck,61,MN,,
660,Steen,67,MN,,
661,Stephen,44,MN,,
662,Stewart,46,MN,,
663,Stewartville,55,MN,,
664,Stillwater,82,MN,,
665,Stockton,85,MN,,
666,Storden,17,MN,,
667,Strandquist,44,MN,,
668,Strathcona,68,MN,,
669,Sturgeon Lake,58,MN,,
670,Sunburg,34,MN,,
671,Sunfish Lake,19,MN,,
672,Swanville,49,MN,,
673,Swanville,77,MN,,
674,Taconite,31,MN,,
675,Tamarack,1,MN,,
676,Taopi,50,MN,,
677,Taunton,42,MN,,
678,Taylors Falls,13,MN,,
679,Tenney (historical),84,MN,,
680,Tenstrike,4,MN,,
681,Thief River Falls,57,MN,,
682,Thomson,9,MN,,
683,Olivia,65,MN,,
684,Onamia,48,MN,,
685,Ormsby,83,MN,,
686,Ormsby,45,MN,,
687,Orono,27,MN,,
688,Oronoco,55,MN,,
689,Orr,69,MN,,
690,Ortonville,6,MN,,
691,Ortonville,37,MN,,
692,Osakis,21,MN,,
693,Osakis,77,MN,,
694,Oslo,44,MN,,
695,Osseo,27,MN,,
696,Ostrander,23,MN,,
697,Otsego,86,MN,,
698,Ottertail,56,MN,,
699,Owatonna,74,MN,,
700,Palisade,1,MN,,
701,Park Rapids,29,MN,,
702,Parkers Prairie,56,MN,,
703,Paynesville,73,MN,,
704,Pease,48,MN,,
705,Pelican Rapids,56,MN,,
706,Pemberton,7,MN,,
707,Pennock,34,MN,,
708,Pequot Lakes,18,MN,,
709,Perham,56,MN,,
710,Perley,54,MN,,
711,Peterson,23,MN,,
712,Pierz,49,MN,,
713,Pillager,11,MN,,
714,Pine Island,25,MN,,
715,Pine Island,55,MN,,
716,Pine River,11,MN,,
717,Pine Springs,82,MN,,
718,Pipestone,59,MN,,
719,Plainview,79,MN,,
720,Plato,46,MN,,
721,Plummer,63,MN,,
722,Plymouth,27,MN,,
723,Porter,87,MN,,
724,Preston,23,MN,,
725,Princeton,48,MN,,
726,Princeton,71,MN,,
727,Prinsburg,34,MN,,
728,Prior Lake,70,MN,,
729,Proctor,69,MN,,
730,Quamba,33,MN,,
731,Racine,50,MN,,
732,Ramsey,2,MN,,
733,Randall,49,MN,,
734,Randolph,19,MN,,
735,Ranier,36,MN,,
736,Raymond,34,MN,,
737,Red Lake Falls,63,MN,,
738,Red Wing,25,MN,,
739,Redwood Falls,64,MN,,
740,Redwood Falls,65,MN,,
741,Regal,34,MN,,
742,Remer,11,MN,,
743,Renville,65,MN,,
744,Revere,64,MN,,
745,Rice,5,MN,,
746,Richmond,73,MN,,
747,Richville,56,MN,,
748,Riverton,18,MN,,
749,Robbinsdale,27,MN,,
750,Rock Creek,58,MN,,
751,Rockford,86,MN,,
752,Rockford,27,MN,,
753,Rockville,73,MN,,
754,Rogers,27,MN,,
755,Rollingstone,85,MN,,
756,Ronneby (historical),5,MN,,
757,Roosevelt,68,MN,,
758,Roosevelt,39,MN,,
759,Roscoe,73,MN,,
760,Rose Creek,50,MN,,
761,Roseau,68,MN,,
762,Roseville,62,MN,,
763,Rothsay,84,MN,,
764,Rothsay,56,MN,,
765,Round Lake,53,MN,,
766,Royalton,49,MN,,
767,Royalton,5,MN,,
768,Rushford,23,MN,,
769,Rushford Village,23,MN,,
770,Rushmore,53,MN,,
771,Russell,42,MN,,
772,Ruthton,59,MN,,
773,Rutledge,58,MN,,
774,Sabin,14,MN,,
775,Sacred Heart,65,MN,,
776,Saint Anthony,62,MN,,
777,Saint Anthony,73,MN,,
778,Saint Augusta,73,MN,,
779,Saint Bonifacius,27,MN,,
780,Saint Charles,85,MN,,
781,Saint Clair,7,MN,,
782,Saint Cloud,73,MN,,
783,Saint Cloud,5,MN,,
784,Saint Cloud,71,MN,,
785,Saint Francis,2,MN,,
786,Saint Hilaire,57,MN,,
787,Saint James,83,MN,,
788,Saint Joseph,73,MN,,
789,Saint Leo,87,MN,,
790,Saint Martin,73,MN,,
791,Saint Marys Point,82,MN,,
792,Saint Michael,86,MN,,
793,Saint Paul Park,82,MN,,
794,Saint Peter,52,MN,,
795,Saint Rosa,73,MN,,
796,Saint Stephen,73,MN,,
797,Saint Vincent,35,MN,,
798,Sanborn,64,MN,,
799,Sandstone,58,MN,,
800,Sargeant,50,MN,,
801,Sartell,73,MN,,
802,Sartell,5,MN,,
803,Sauk Centre,73,MN,,
804,Sauk Rapids,5,MN,,
805,Savage,70,MN,,
806,Scandia,82,MN,,
807,Scanlon,9,MN,,
808,Seaforth,64,MN,,
809,Sebeka,80,MN,,
810,Sedan,61,MN,,
811,Tintah,78,MN,,
812,Tonka Bay,27,MN,,
813,Tower,69,MN,,
814,Tracy,42,MN,,
815,Trail,60,MN,,
816,Trimont,45,MN,,
817,Trommald,18,MN,,
818,Trosky,59,MN,,
819,Truman,45,MN,,
820,Turtle River,4,MN,,
821,Twin Lakes,24,MN,,
822,Twin Valley,54,MN,,
823,Two Harbors,38,MN,,
824,Tyler,41,MN,,
825,Ulen,14,MN,,
826,Underwood,56,MN,,
827,Upsala,49,MN,,
828,Urbank,56,MN,,
829,Utica,85,MN,,
830,Vadnais Heights,62,MN,,
831,Vergas,56,MN,,
832,Vermillion,19,MN,,
833,Verndale,80,MN,,
834,Vernon Center,7,MN,,
835,Vesta,64,MN,,
836,Victoria,10,MN,,
837,Viking,44,MN,,
838,Villard,61,MN,,
839,Vining,56,MN,,
840,Virginia,69,MN,,
841,Wabasha,79,MN,,
842,Wabasso,64,MN,,
843,Waconia,10,MN,,
844,Wadena,80,MN,,
845,Wadena,56,MN,,
846,Wahkon,48,MN,,
847,Waite Park,73,MN,,
848,Waldorf,81,MN,,
849,Walker,11,MN,,
850,Walnut Grove,64,MN,,
851,Walters,22,MN,,
852,Waltham,50,MN,,
853,Wanamingo,25,MN,,
854,Wanda,64,MN,,
855,Warba,31,MN,,
856,Warren,44,MN,,
857,Warroad,68,MN,,
858,Waseca,81,MN,,
859,Watertown,10,MN,,
860,Waterville,40,MN,,
861,Watkins,47,MN,,
862,Watson,12,MN,,
863,Waubun,43,MN,,
864,Waverly,86,MN,,
865,Wayzata,27,MN,,
866,Welcome,45,MN,,
867,Wells,22,MN,,
868,Wendell,26,MN,,
869,West Concord,20,MN,,
870,West Saint Paul,19,MN,,
871,West Union,77,MN,,
872,Westbrook,17,MN,,
873,Westport,61,MN,,
874,Whalan,23,MN,,
875,Wheaton,78,MN,,
876,White Bear Lake,82,MN,,
877,Wilder,32,MN,,
878,Willernie,82,MN,,
879,Williams,39,MN,,
880,Willmar,34,MN,,
881,Willow River,58,MN,,
882,Wilmont,53,MN,,
883,Wilton,4,MN,,
884,Windom,17,MN,,
885,Winger,60,MN,,
886,Winnebago,22,MN,,
887,Winona,85,MN,,
888,Winsted,46,MN,,
889,Winthrop,72,MN,,
890,Winton,69,MN,,
891,Wolf Lake,3,MN,,
892,Wolverton,84,MN,,
893,Wood Lake,87,MN,,
894,Woodland,27,MN,,
895,Woodstock,59,MN,,
896,Worthington,53,MN,,
897,Wrenshall,9,MN,,
898,Wright,9,MN,,
899,Wykoff,23,MN,,
900,Wyoming,13,MN,,
901,Zemple,31,MN,,
902,Zimmerman,71,MN,,
903,Zumbro Falls,79,MN,,
904,Nowthen,2,MN,,
905,Norwood (historical),10,MN,,
906,Young America (historical),10,MN,,
907,Elko (historical),70,MN,,
908,New Market (historical),70,MN,,
909,Branch (historical),13,MN,,
910,Bass Brook (historical),31,MN,,
911,Island View (historical) ,36,MN,,
912,South International Falls (historical),36,MN,,
913,North Redwood (historical) ,64,MN,,
914,Franklin (historical) ,69,MN,,
915,Pleasant Lake (historical),73,MN,,
916,Village of North Crosslake (historical),18,MN,,
917,Saint Francis,30,MN,,
918,Rice Lake,69,MN,,
919,Center City,13,MN,,
